date,ticker,open,high,low,close,volume,amount,pct_change
2023-03-22,000300.SH,3993.78,4016.45,3986.71,3999.44,149228970,265180992104.1,0.43
2023-03-23,000300.SH,3985.99,4039.09,3984.0,4039.09,158887421,296479529467.0,0.99
2023-03-24,000300.SH,4035.16,4037.84,4017.0,4027.05,159442330,295785588943.1,-0.3
2023-03-27,000300.SH,4023.3,4023.3,3987.03,4012.48,168482279,315474696948.0,-0.36
2023-03-28,000300.SH,4015.7,4023.78,3994.6,3999.51,131895117,248736920971.8,-0.32
2023-03-29,000300.SH,4013.59,4017.76,3992.67,4006.14,133743510,263866922733.1,0.17
2023-03-30,000300.SH,4009.56,4040.5,3983.9,4038.53,149901037,280004715991.0,0.81
2023-03-31,000300.SH,4045.45,4063.57,4039.96,4050.93,138842546,279863685781.0,0.31
2023-04-03,000300.SH,4059.62,4094.94,4059.06,4090.57,182124313,382895558426.0,0.98
2023-04-04,000300.SH,4089.29,4103.16,4080.07,4103.11,197146631,394443175146.2,0.31
2023-04-06,000300.SH,4084.13,4098.83,4078.4,4096.64,150703374,328981851588.3,-0.16
2023-04-07,000300.SH,4096.9,4131.31,4092.18,4123.28,128676738,286567771883.1,0.65
2023-04-10,000300.SH,4132.01,4132.3,4099.05,4104.81,152453002,340822557207.6,-0.45
2023-04-11,000300.SH,4108.51,4116.12,4083.49,4100.15,153901333,324192951998.7,-0.11
2023-04-12,000300.SH,4102.4,4108.25,4090.28,4097.29,165965278,325425226403.2,-0.07
2023-04-13,000300.SH,4081.39,4088.88,4059.57,4068.98,156444295,300291020752.9,-0.69
2023-04-14,000300.SH,4078.97,4098.22,4075.2,4092.0,150695682,306201501438.7,0.57
2023-04-17,000300.SH,4090.07,4149.38,4089.51,4149.38,188773095,341831272792.7,1.4
2023-04-18,000300.SH,4139.31,4169.67,4138.46,4162.03,170184130,331545662315.6,0.3
2023-04-19,000300.SH,4159.39,4159.39,4118.63,4124.56,162554592,312219504522.6,-0.9
2023-04-20,000300.SH,4122.95,4125.82,4094.0,4113.02,162706677,332172409512.0,-0.28
2023-04-21,000300.SH,4114.26,4114.26,4031.91,4032.57,180802435,347852011602.5,-1.96
2023-04-24,000300.SH,4031.3,4033.64,3967.91,3982.64,170099217,328375614674.3,-1.24
2023-04-25,000300.SH,3985.11,3991.69,3925.44,3962.67,172555409,331110619767.7,-0.5
2023-04-26,000300.SH,3950.26,3975.66,3934.66,3959.23,162702006,322062811333.5,-0.09
2023-04-27,000300.SH,3948.03,3999.13,3942.82,3988.42,153828195,304804002557.4,0.74
2023-04-28,000300.SH,3993.26,4030.45,3993.26,4029.09,179508488,328936294025.2,1.02
2023-05-04,000300.SH,4013.47,4035.78,4001.13,4030.25,227582846,345492506049.3,0.03
2023-05-05,000300.SH,4031.09,4047.6,3998.39,4016.88,206626924,307694489937.0,-0.33
2023-05-08,000300.SH,4028.11,4070.77,4018.96,4062.66,255583085,359539954170.1,1.14
2023-05-09,000300.SH,4065.44,4092.85,4026.39,4027.88,279306048,396422120420.6,-0.86
2023-05-10,000300.SH,4017.94,4019.06,3984.63,3996.87,207552709,309484851741.1,-0.77
2023-05-11,000300.SH,4005.78,4018.06,3988.48,3990.66,144804619,241052071431.6,-0.16
2023-05-12,000300.SH,3987.77,3999.38,3937.53,3937.76,144421728,228992923388.1,-1.33
2023-05-15,000300.SH,3938.83,3998.89,3923.03,3998.89,176257362,279531163508.4,1.55
2023-05-16,000300.SH,4002.52,4005.02,3966.99,3978.21,136833271,234840652671.0,-0.52
2023-05-17,000300.SH,3971.7,3982.6,3945.71,3960.17,118448185,205195685976.4,-0.45
2023-05-18,000300.SH,3965.52,3982.72,3939.55,3956.07,136533947,229134184412.9,-0.1
2023-05-19,000300.SH,3946.22,3967.28,3928.32,3944.54,120212479,207094944781.3,-0.29
2023-05-22,000300.SH,3941.0,3985.4,3935.8,3969.33,109116605,202185550245.9,0.63
2023-05-23,000300.SH,3968.23,3971.94,3913.19,3913.19,118685077,189955815340.0,-1.41
2023-05-24,000300.SH,3903.78,3903.78,3859.09,3859.09,137258265,211768410520.2,-1.38
2023-05-25,000300.SH,3851.41,3861.38,3817.84,3850.5,124150770,213313620055.3,-0.22
2023-05-26,000300.SH,3848.42,3859.63,3815.57,3850.95,100326439,191537814872.5,0.01
2023-05-29,000300.SH,3862.08,3866.72,3819.18,3833.94,131859967,230095604813.4,-0.44
2023-05-30,000300.SH,3827.79,3844.01,3789.27,3837.75,137619629,244566265534.9,0.1
2023-05-31,000300.SH,3827.16,3827.16,3781.4,3798.54,126387368,235606123947.6,-1.02
2023-06-01,000300.SH,3788.59,3832.21,3786.73,3806.87,134561881,241829546409.4,0.22
2023-06-02,000300.SH,3821.62,3865.28,3821.62,3861.83,125015110,232696547130.8,1.44
2023-06-05,000300.SH,3860.56,3860.56,3832.46,3844.25,116163989,211144360143.7,-0.46
2023-06-06,000300.SH,3840.46,3867.85,3802.84,3808.16,125781258,222091722592.2,-0.94
2023-06-07,000300.SH,3815.48,3823.11,3780.1,3789.34,98862432,189879792179.6,-0.49
2023-06-08,000300.SH,3791.08,3834.39,3777.78,3820.19,118700934,199119300649.7,0.81
2023-06-09,000300.SH,3822.41,3836.7,3811.22,3836.7,134319863,247296087070.9,0.43
2023-06-12,000300.SH,3827.33,3859.72,3813.86,3844.43,126758543,240791270473.5,0.2
2023-06-13,000300.SH,3838.13,3867.3,3833.46,3864.91,110924946,225435215314.9,0.53
2023-06-14,000300.SH,3872.72,3891.67,3862.06,3864.02,124955759,243932581183.9,-0.02
2023-06-15,000300.SH,3871.77,3925.5,3871.77,3925.5,128369938,282635910894.2,1.59
2023-06-16,000300.SH,3932.21,3968.01,3928.54,3963.35,139760076,280374762837.8,0.96
2023-06-19,000300.SH,3957.03,3957.03,3922.47,3930.91,134905848,268213068579.8,-0.82
2023-06-20,000300.SH,3926.09,3937.49,3918.47,3924.24,122520318,266274081286.8,-0.17
2023-06-21,000300.SH,3909.1,3920.13,3864.03,3864.03,118346575,243630705591.5,-1.53
2023-06-26,000300.SH,3833.44,3841.29,3801.05,3809.7,133990419,247713845779.5,-1.41
2023-06-27,000300.SH,3811.69,3851.9,3806.32,3845.43,116992681,210097713687.6,0.94
2023-06-28,000300.SH,3836.61,3846.85,3808.16,3840.8,107021541,206187959876.8,-0.12
2023-06-29,000300.SH,3836.73,3840.71,3817.38,3821.84,98289274,204110031407.8,-0.49
2023-06-30,000300.SH,3816.33,3860.03,3813.55,3842.45,101268429,208146272909.3,0.54
2023-07-03,000300.SH,3853.29,3897.33,3853.29,3892.88,133158051,256876520211.7,1.31
2023-07-04,000300.SH,3888.03,3899.98,3878.4,3899.01,109494527,216335611421.8,0.16
2023-07-05,000300.SH,3895.19,3899.52,3864.13,3868.81,97636384,188400265050.6,-0.77
2023-07-06,000300.SH,3857.03,3876.89,3836.46,3842.75,100121842,184742420862.3,-0.67
2023-07-07,000300.SH,3831.6,3844.84,3819.08,3825.7,100906920,173918560673.0,-0.44
2023-07-10,000300.SH,3841.56,3865.46,3831.92,3844.33,92033441,185360813110.7,0.49
2023-07-11,000300.SH,3853.8,3870.65,3844.52,3869.49,86510716,177585694368.3,0.65
2023-07-12,000300.SH,3864.6,3874.04,3838.56,3843.44,111522024,214046519056.1,-0.67
2023-07-13,000300.SH,3855.66,3901.1,3855.66,3898.42,120300232,235278706834.5,1.43
2023-07-14,000300.SH,3904.6,3908.49,3893.79,3899.1,122364846,220230466522.9,0.02
2023-07-17,000300.SH,3881.62,3881.62,3852.26,3867.17,98340144,174623552807.4,-0.82
2023-07-18,000300.SH,3871.04,3871.04,3844.51,3854.94,91438615,167104315117.1,-0.32
2023-07-19,000300.SH,3848.48,3860.01,3830.41,3850.87,79585700,151311481029.8,-0.11
2023-07-20,000300.SH,3857.77,3875.62,3818.71,3823.69,92042076,174320872139.8,-0.71
2023-07-21,000300.SH,3816.98,3849.51,3808.8,3821.91,79507563,157144211209.3,-0.05
2023-07-24,000300.SH,3803.35,3828.79,3798.8,3805.22,75483545,151448369566.2,-0.44
2023-07-25,000300.SH,3866.64,3915.81,3866.64,3915.12,163066320,299853562168.1,2.89
2023-07-26,000300.SH,3908.17,3912.98,3893.4,3907.01,107881717,192912604792.0,-0.21
2023-07-27,000300.SH,3914.23,3935.36,3894.69,3902.35,110667109,196845425513.3,-0.12
2023-07-28,000300.SH,3889.79,4000.92,3886.55,3992.74,179735481,310092467404.5,2.32
2023-07-31,000300.SH,4018.89,4064.36,4002.08,4014.63,199606830,366544120003.6,0.55
2023-08-01,000300.SH,4009.18,4031.7,3983.03,3998.0,142286859,255620773637.6,-0.41
2023-08-02,000300.SH,3985.7,4008.33,3958.51,3969.9,125855690,204875690923.8,-0.7
2023-08-03,000300.SH,3962.13,4005.0,3962.13,4004.98,129006640,224809824820.3,0.88
2023-08-04,000300.SH,4033.72,4058.24,4011.62,4020.58,178267189,316529733837.7,0.39
