date,momentum_60,reversal_20,volatility_20,liquidity_20
2022-04-29,-0.03925476906404671,0.09948230181601608,0.05038605379750226,-0.15851351650104462
2022-05-05,-0.01289285720178024,0.01193415854926517,-0.09464989928445403,-0.27360222381780624
2022-05-06,-0.09271746418425292,0.19619819408664216,-0.060025892521108154,-0.2115133526212052
2022-05-09,-0.2822416392883941,0.026532808269892533,0.23085801295460145,-0.05558946474532576
2022-05-10,-0.32847888507273926,0.2834616676832112,0.40258603105257024,0.1823474122760087
2022-05-11,0.013597673895951647,-0.1839804799705467,-0.02480934703286748,-0.24678152812461615
2022-05-12,0.16993982140371178,0.11349777122392282,-0.20524158473444157,-0.07364019953949548
2022-05-13,-0.07907229385097651,0.1834958135327844,-0.001300125705274552,-0.05332725806271416
2022-05-16,-0.09707621034404453,-0.12399701370600713,0.4508252938206194,0.2633853687053801
2022-05-17,-0.28373761444062856,0.03627936041914254,0.08277620921009132,-0.09362223583756771
2022-05-18,0.12690577067822031,-0.3564178009747604,0.22392324279791392,-0.03006859247369629
2022-05-19,-0.33610005266728704,0.371798871311002,0.014674023479598754,0.17334693374237561
2022-05-20,-0.1904089049436418,0.19226768677067052,0.07730042921105071,-0.1325518734553097
2022-05-23,0.31136601094104455,0.060436097791077864,-0.4442310839259984,0.004502496284067206
2022-05-24,0.1636894915375285,-0.11418160865733325,0.023044682149760475,-0.1304241260657524
2022-05-25,-0.12154851513408209,0.027590938592436328,-0.06982651260325964,-0.1898711585016182
2022-05-26,0.12704332592149975,0.08613866390172424,-0.09217681571519193,0.03404484991460295
2022-05-27,-0.25583447839753015,-0.18805790473920617,0.2961574587115515,-0.01569728417910941
2022-05-30,-0.3866680573678635,-0.06702004178029643,0.1758592070534905,-0.0011932110124760094
2022-05-31,0.006530241226576922,-0.01912286171223707,-0.01968826619586485,-0.08605647663708609
2022-06-01,-0.3480087312296818,-0.3143387792308345,0.14057893904444727,-0.1419519872881511
2022-06-02,-0.15264425806666118,-0.3647898652487385,0.4139451073065484,0.22115978070534165
2022-06-06,-0.040228916611942236,0.434898854585074,-0.1611657335042277,0.03511859342412428
